Method,Category,Accuracy,AUC,Precision,Recall,F1,DPD,DPR,EOD
Baseline,Baseline,0.8172173720853133,,0.7105633802816902,0.4480461811722913,0.5495642701525054,0.17839236409925419,0.16714081684968268,0.17924444198651965
Reweighing,Pre-processing,0.8078240689578959,,0.7040572792362768,0.39298401420959145,0.5044172128811627,0.07074329684810671,0.5622892086256117,0.005155124503194414
DIR (r=0.5),Pre-processing,0.8173278815338711,,0.7110641296687809,0.4480461811722913,0.5497139743938981,0.1782296036825875,0.16726792013245811,0.17912648963926792
DIR (r=1.0),Pre-processing,0.8105868051718422,,0.7128164556962026,0.40008880994671403,0.512514220705347,0.08912043262335055,0.47044880267130973,0.03207715391550431
LabelFlip (targeted),Pre-processing,0.7878218587689247,,0.7085427135678392,0.25044404973357015,0.3700787401574803,0.018485101118760755,0.8160985659246576,0.09681782282903481
LabelFlip (equalize),Pre-processing,0.7882638965631561,,0.7326869806094183,0.23490230905861456,0.3557498318762609,0.016114121665232364,0.8103349358023225,0.024781056147287983
Sampling (oversample),Pre-processing,0.7463808155597303,,0.49319835495096487,0.6922735346358793,0.5760206909292445,0.11193204738597246,0.7094590202199346,0.04722234604139605
Sampling (undersample),Pre-processing,0.748148966736656,,0.49571836346336823,0.6940497335701599,0.5783533765032377,0.10353204111087205,0.7287416372771011,0.04641962415448657
Sampling (hybrid),Pre-processing,0.7431760415515527,,0.4888544891640867,0.7011545293072824,0.5760671287851149,0.10998065924411937,0.7196177716199712,0.04363742468163856
FairReg (λ=0.1),In-processing,0.757100232069842,,1.0,0.023978685612788632,0.046834345186470075,0.005240101029116465,0.31499615483209437,0.00224950267383724
FairReg (λ=0.5),In-processing,0.7565476848270527,,1.0,0.021758436944937832,0.042590178183398525,0.004426298945783133,0.35249569707401035,0.0009371667158319906
FairReg (λ=1.0),In-processing,0.7562161564813792,,1.0,0.020426287744227355,0.04003481288076589,0.003938017695783133,0.3796107506950881,0.000149765141028841
FairReg (λ=2.0),In-processing,0.7558846281357056,,1.0,0.019094138543516874,0.03747276688453159,0.0034497364457831323,0.41124497991967873,0.0006376364337743086
Adversarial (w=0.5),In-processing,0.8402033373853465,,0.7404534606205251,0.5510657193605684,0.6318737270875764,0.1455308398773666,0.37253229459190146,0.06345801084225117
Adversarial (w=1.0),In-processing,0.8324676759862968,,0.7246642246642246,0.5270870337477798,0.6102827763496144,0.09625141189759036,0.5457997890178224,0.0255833925824008
Constrained (ε=0.05),In-processing,0.8082661067521273,,0.6146341463414634,0.6154529307282416,0.615043266030619,0.3497869267247562,0.03237691229315538,0.42921445574986616
Constrained (ε=0.1),In-processing,0.8104762957232844,,0.6439678284182305,0.533303730017762,0.5834345397133835,0.2807334247705106,0.052293317697792746,0.3460803418813884
Equalized Odds,Post-processing,0.7849486131064206,,0.5787037037037037,0.49955595026642985,0.5362249761677789,0.03603829380020082,0.840820073969494,0.027466358100016068
ThreshOpt (w=0.3),Post-processing,0.8172173720853133,,0.7105633802816902,0.4480461811722913,0.5495642701525054,0.17839236409925419,0.16714081684968268,0.17924444198651965
ThreshOpt (w=0.5),Post-processing,0.8172173720853133,,0.7105633802816902,0.4480461811722913,0.5495642701525054,0.17839236409925419,0.16714081684968268,0.17924444198651965
ThreshOpt (w=0.7),Post-processing,0.8172173720853133,,0.7105633802816902,0.4480461811722913,0.5495642701525054,0.17839236409925419,0.16714081684968268,0.17924444198651965
Calibrated,Post-processing,0.8178804287766605,,0.7166427546628408,0.4436056838365897,0.5479978058145913,0.18734245015777395,0.12535561263726203,0.19678110720362688
Reject Option,Post-processing,0.8010829925958669,,0.7334710743801653,0.31527531083481347,0.4409937888198758,0.0024117676061388427,0.977616464996802,0.07649835951726007
