Method,Category,Accuracy,AUC,Precision,Recall,F1,DPD,DPR,EOD,TPR_Diff,FPR_Diff
Baseline,Baseline,0.9012705349194788,,0.7097560975609756,0.20905172413793102,0.32297447280799113,0.001640964894226167,0.9520728853226345,0.03892468636666803,0.07235847104573254,0.005490901687603515
Reweighing,Pre-processing,0.9003803512179331,,0.6885245901639344,0.21120689655172414,0.3232545354590434,0.005794947041535471,0.8417106246462777,0.045673660383172617,0.09085925284401791,0.0004880679223273187
DIR (r=0.5),Pre-processing,0.9005422028000324,,0.6982968369829684,0.20617816091954022,0.31835829173599556,0.0008083197320791422,0.9760726436064951,0.03742278210680009,0.0704557041410778,0.004389860072522381
DIR (r=1.0),Pre-processing,0.900623128591082,,0.7019704433497537,0.20474137931034483,0.3170189098998888,0.002496103924647712,0.9275799252060819,0.03533195837074331,0.0650503102661954,0.005613606475291218
LabelFlip (targeted),Pre-processing,0.8952011005907583,,0.5799011532125206,0.25287356321839083,0.352176088044022,0.04851981761307661,0.26844222063913215,0.1459099246034502,0.265431716905828,0.026388132301072426
LabelFlip (equalize),Pre-processing,0.9002994254268836,,0.7040816326530612,0.19827586206896552,0.3094170403587444,0.007064934818149956,0.7935900362287032,0.04700971828947447,0.09268949275903335,0.0013299438199155921
Sampling (oversample),Pre-processing,0.8126567937201586,,0.33163079168186793,0.6530172413793104,0.4398741834018873,0.019526680933006718,0.9167026395642625,0.018489996708324033,0.02634649555985502,0.010633497856793045
Sampling (undersample),Pre-processing,0.8100671684065712,,0.32903687790905833,0.6602011494252874,0.43918757467144565,0.020787081628359155,0.9131856962689786,0.01595493612809648,0.020710721835530133,0.011199150420662829
Sampling (hybrid),Pre-processing,0.8206684470340697,,0.3426279602750191,0.6443965517241379,0.44738154613466335,0.01903439146473887,0.9150818034551721,0.02506054789438361,0.03845423653611091,0.011666859252656314
FairReg (λ=0.1),In-processing,0.8873512988589464,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FairReg (λ=0.5),In-processing,0.8873512988589464,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FairReg (λ=1.0),In-processing,0.8873512988589464,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FairReg (λ=2.0),In-processing,0.8874322246499959,,1.0,0.0007183908045977011,0.0014357501794687725,0.00012537612838515547,0.0,0.0006090133982947625,0.001218026796589525,0.0
Adversarial (w=0.5),In-processing,0.9013514607105284,,0.6798336798336798,0.2349137931034483,0.34917245061398827,0.0015801227009034358,0.9604427568419546,0.038144422501592695,0.07166733149740506,0.0046215135057803315
Adversarial (w=1.0),In-processing,0.9007849801731812,,0.6554307116104869,0.2514367816091954,0.363447559709242,0.008726934054846577,0.8213425322697063,0.03598356751428733,0.061080524156820415,0.010886610871754238
Constrained (ε=0.05),In-processing,0.8982762806506434,,0.6610978520286396,0.19899425287356323,0.3059083379348426,0.002634386840045362,0.9260176362420595,0.029997919932081046,0.05530609589347918,0.0046897439706829105
Constrained (ε=0.1),In-processing,0.8982762806506434,,0.6610978520286396,0.19899425287356323,0.3059083379348426,0.002634386840045362,0.9260176362420595,0.029997919932081046,0.05530609589347918,0.0046897439706829105
Equalized Odds,Post-processing,0.8609694909767743,,0.4135737009544008,0.5603448275862069,0.4758999389871873,0.02169381918867766,0.8698073673074016,0.02870545245427178,0.041442775138601284,0.015968129769942274
ThreshOpt (w=0.3),Post-processing,0.9012705349194788,,0.7097560975609756,0.20905172413793102,0.32297447280799113,0.001640964894226167,0.9520728853226345,0.03892468636666803,0.07235847104573254,0.005490901687603515
ThreshOpt (w=0.5),Post-processing,0.9012705349194788,,0.7097560975609756,0.20905172413793102,0.32297447280799113,0.001640964894226167,0.9520728853226345,0.03892468636666803,0.07235847104573254,0.005490901687603515
ThreshOpt (w=0.7),Post-processing,0.9012705349194788,,0.7097560975609756,0.20905172413793102,0.32297447280799113,0.001640964894226167,0.9520728853226345,0.03892468636666803,0.07235847104573254,0.005490901687603515
Calibrated,Post-processing,0.9012705349194788,,0.7097560975609756,0.20905172413793102,0.32297447280799113,0.001640964894226167,0.9520728853226345,0.03892468636666803,0.07235847104573254,0.005490901687603515
Reject Option,Post-processing,0.9005422028000324,,0.6791208791208792,0.22198275862068967,0.3345966432051976,0.012488189288248217,0.6972468153098244,0.063945126878318,0.12397635620137759,0.003913897555258424
