Method,Category,Accuracy,AUC,Precision,Recall,F1,DPD,EOD
Baseline,Baseline,0.8990384615384616,,0.9107142857142857,0.9828890489913544,0.9454261954261954,0.15911085664671154,0.20253581093170192
Reweighing,Pre-processing,0.8969551282051282,,0.9040329218106996,0.989193083573487,0.9446976864195408,0.09141450048603394,0.11075468270900507
DIR (r=0.5),Pre-processing,0.8971153846153846,,0.9091666666666667,0.982528818443804,0.9444252077562327,0.10419058824269611,0.10913269205735254
DIR (r=1.0),Pre-processing,0.8977564102564103,,0.9081395348837209,0.9846902017291066,0.9448669201520913,0.11166198459162135,0.1223054796067296
LabelFlip (targeted),Pre-processing,0.8919871794871795,,0.8922483113541332,0.9992795389048992,0.9427357689039932,0.01423340327608924,0.01749337554418262
LabelFlip (equalize),Pre-processing,0.8908653846153847,,0.890742820471683,1.0,0.9422146796775562,0.0035807650080691422,0.003964294622812947
Sampling (oversample),Pre-processing,0.8022435897435898,,0.9643010752688173,0.8076368876080692,0.879043324838267,0.34397522327678137,0.22336198969451113
Sampling (undersample),Pre-processing,0.8075320512820513,,0.9633652822151225,0.8146613832853026,0.8827949643798185,0.3341011831545966,0.2199530034822499
Sampling (hybrid),Pre-processing,0.8004807692307693,,0.9646170442286948,0.8052953890489913,0.8777854127809954,0.33990527842355106,0.2188338794695125
FairReg (λ=0.1),In-processing,0.8897435897435897,,0.8897435897435897,1.0,0.9416553595658074,0.0,0.0
FairReg (λ=0.5),In-processing,0.8897435897435897,,0.8897435897435897,1.0,0.9416553595658074,0.0,0.0
FairReg (λ=1.0),In-processing,0.8897435897435897,,0.8897435897435897,1.0,0.9416553595658074,0.0,0.0
FairReg (λ=2.0),In-processing,0.8897435897435897,,0.8897435897435897,1.0,0.9416553595658074,0.0,0.0
Adversarial (w=0.5),In-processing,0.8979166666666667,,0.9115726009043711,0.9803674351585014,0.9447192571378982,0.10850905533237487,0.1167610713192197
Adversarial (w=1.0),In-processing,0.8932692307692308,,0.8987920339536403,0.9917146974063401,0.9429696865901696,0.028694880756514274,0.022377242414352683
Constrained (ε=0.05),In-processing,0.9009615384615385,,0.9113037679226409,0.9845100864553314,0.9464935064935065,0.17374378301177495,0.22239228028153912
Constrained (ε=0.1),In-processing,0.8990384615384616,,0.9081260364842454,0.9863112391930836,0.9456052495251251,0.1564982273129083,0.20697892737454343
Equalized Odds,Post-processing,0.8597756410256411,,0.9368578367270689,0.903278097982709,0.9197615772581385,0.0797103614897493,0.0044444014761486905
ThreshOpt (w=0.3),Post-processing,0.8990384615384616,,0.9107142857142857,0.9828890489913544,0.9454261954261954,0.15911085664671154,0.20253581093170192
ThreshOpt (w=0.5),Post-processing,0.8990384615384616,,0.9107142857142857,0.9828890489913544,0.9454261954261954,0.15911085664671154,0.20253581093170192
ThreshOpt (w=0.7),Post-processing,0.8990384615384616,,0.9107142857142857,0.9828890489913544,0.9454261954261954,0.15911085664671154,0.20253581093170192
Calibrated,Post-processing,0.8990384615384616,,0.9107142857142857,0.9828890489913544,0.9454261954261954,0.15911085664671154,0.20253581093170192
Reject Option,Post-processing,0.8919871794871795,,0.9002297341647522,0.9881123919308358,0.9421260518633007,0.008042368322537796,0.05704309893264847
